year,round,num_matches,avg_beer_score,min_beer_score,max_beer_score
2010,quarter_final,4,6.88,5.0,8.5
2010,semi_final,2,7.75,7.5,8.0
2010,third_place,1,8.0,8.0,8.0
2010,final,1,7.5,7.5,7.5
2014,quarter_final,4,7.25,6.5,8.0
2014,semi_final,2,8.25,8.0,8.5
2014,third_place,1,8.0,8.0,8.0
2014,final,1,8.5,8.5,8.5
2018,quarter_final,4,7.25,6.0,8.5
2018,semi_final,2,8.0,7.5,8.5
2018,third_place,1,9.0,9.0,9.0
2018,final,1,7.0,7.0,7.0
2022,quarter_final,4,6.75,4.0,8.0
2022,semi_final,2,5.75,4.0,7.5
2022,third_place,1,5.0,5.0,5.0
2022,final,1,6.5,6.5,6.5
2026,quarter_final,4,6.63,4.0,8.5
