ticker,company,market,avg_price,min_price,max_price,price_range
SAM,Boston Beer,USA,297.88,72.13,1306.45,1234.32
STZ,Constellation Brands,Mexico,141.96,14.05,258.61,244.56
BUD,AB InBev,Global,69.73,32.24,109.33,77.09
TAP,Molson Coors,USA/Canada/England,48.75,26.06,86.13,60.07
HEINY,Heineken,Europe,37.71,16.57,56.0,39.43
CABGY,Carlsberg,Denmark/E.Europe,19.33,8.16,32.67,24.52
KNBWY,Kirin,Japan,16.1,10.58,28.79,18.22
CCU,Cervecerias Unidas,Chile/S.America,14.5,8.23,21.53,13.31
ASBRF,Asahi,Japan,9.99,4.07,15.1,11.03
ABEV,Ambev,Latin America,3.27,1.5,5.7,4.2
